City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Florianopolis,BR,88.0,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
196,Ambilobe,MG,78.71,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
197,Chuy,UY,84.25,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
200,Kisangani,CD,83.52,overcast clouds,0.5167,25.2,Grand Ramela Hotel
202,Vilhena,BR,75.2,broken clouds,-12.7406,-60.1458,Hotel Mirage
203,Tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
208,Bengkulu,ID,76.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Cockburn+Town,TC,72.18,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
214,Tirumullaivasal,IN,76.78,clear sky,11.2333,79.8333,Hajaali
215,Grand+Gaube,MU,82.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
218,Sao+Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Tortuga B&B
219,Rantauprapat,ID,73.4,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
221,Amahai,ID,79.66,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
222,Diamantina,BR,78.06,few clouds,-18.2494,-43.6003,HOTEL MONTANHAS DE MINAS
225,Makakilo+City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
226,Mamallapuram,IN,78.8,haze,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
228,San+Vicente,AR,73.58,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
233,Hobyo,SO,76.98,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
237,Pathein,MM,72.63,clear sky,16.7833,94.7333,Pathein Hotel
242,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
244,Padang,ID,78.1,overcast clouds,-0.9492,100.3543,Mercure Padang
255,Broken+Hill,AU,75.2,broken clouds,-31.95,141.4333,Royal Exchange Hotel
257,Teluknaga,ID,77.0,heavy intensity rain,-6.0989,106.6381,Bale Ocasa hotel
261,Kruisfontein,ZA,78.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
263,Jalu,LY,76.01,clear sky,29.0331,21.5482,صاحبة الفخامة
265,Cativa,PA,79.0,broken clouds,9.3606,-79.8436,La Granja Campo y Aventura
266,Vanimo,PG,79.29,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
267,Funadhoo,MV,81.5,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
268,Graaff-Reinet,ZA,91.0,clear sky,-32.2522,24.5308,Rietjiesbos B&B
269,Mahebourg,MU,84.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Nhulunbuy,AU,77.0,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
277,Doha,QA,73.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
283,Kabwe,ZM,77.63,light rain,-14.4469,28.4464,Tuskers
285,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
296,Bandarbeyla,SO,75.2,clear sky,9.4942,50.8122,JABIR HOTEL
300,Yulara,AU,89.6,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
302,Kailua,US,73.4,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
318,Huarmey,PE,74.95,overcast clouds,-10.0681,-78.1522,Hotel Miramar
322,Oistins,BB,82.4,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
323,Samarai,PG,82.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
327,San+Felipe,VE,78.64,few clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
329,Sao+Jose+Da+Coroa+Grande,BR,83.7,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
330,Barra,BR,90.3,clear sky,-11.0894,-43.1417,Motel Albatroz
336,Fomboni,KM,84.4,broken clouds,-12.28,43.7425,Auberge les abou
337,Elliot,ZA,76.64,light rain,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
340,Kavieng,PG,82.31,few clouds,-2.5744,150.7967,Nusa Island Retreat
342,Xuddur,SO,86.7,clear sky,4.1213,43.8894,Banjanay Hotel
343,Ambunti,PG,75.15,overcast clouds,-4.2365,142.8448,Ambunti Lodge
345,Labuhan,ID,78.03,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
354,Trincomalee,LK,79.34,scattered clouds,8.5711,81.2335,Welcombe Hotel
357,Santa+Cruz,BO,77.94,overcast clouds,-17.8,-63.1667,Hotel Cortez
360,Road+Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
363,Sarangani,PH,81.55,light rain,5.4033,125.4636,Ballistic Islet
364,Mizan+Teferi,ET,75.9,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
368,Howard+Springs,AU,78.8,overcast clouds,-12.497,131.047,buffalo beach hostel
370,Puerto+Escondido,MX,71.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
377,Ponot,PH,79.02,overcast clouds,8.452,123.0222,Jose Dalman Municipal Building
385,Kudahuvadhoo,MV,81.34,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
386,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
388,San+Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Pirineos
389,Buala,SB,80.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
392,Boyolangu,ID,75.51,heavy intensity rain,-8.1181,111.8935,Yos ega cv
398,Nicoya,CR,82.4,clear sky,10.1483,-85.45200000000001,Guayacan Real
402,Bahia+Blanca,AR,73.71,overcast clouds,-38.7196,-62.2724,Hotel Argos
403,Nuevo+Progreso,MX,70.0,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
407,Iracoubo,GF,79.99,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
410,The+Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
418,Dong+Xoai,VN,72.21,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
419,Bonthe,SL,87.93,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
421,Conde,BR,86.0,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
422,Vila+Velha,BR,90.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
425,Inhambane,MZ,83.88,broken clouds,-23.865,35.3833,Oceano
427,Jambi,ID,74.25,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
428,Acapulco,MX,75.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
430,Mount+Isa,AU,89.6,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
434,Praia,CV,80.6,clear sky,14.9215,-23.5087,LT Aparthotel
435,Sinnamary,GF,79.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
442,Buchanan,LR,86.0,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
443,Grand-Santi,GF,81.86,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
445,Mecca,SA,74.53,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
447,Charters+Towers,AU,74.68,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
449,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
453,Sweetwater,US,71.01,clear sky,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
454,Pusad,IN,73.4,clear sky,19.9,77.5833,Bhakti Lodge
455,Saint-Pierre,RE,82.99,light rain,-21.3393,55.4781,Lindsey Hôtel
456,Arlit,NE,84.04,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
459,Koumac,NC,75.81,broken clouds,-20.5667,164.2833,Le Monitel
461,San+Pedro,PH,75.2,overcast clouds,14.35,121.0167,OYO 412 Viewfort Venue
463,Sydney,AU,73.0,scattered clouds,-33.8679,151.2073,The Grace Sydney
467,Tecoanapa,MX,78.8,overcast clouds,16.5167,-98.75,Hotel Manglares
468,Mongu,ZM,81.68,light rain,-15.2484,23.1274,Country Lodge Mongu
471,Sao+Joao+Da+Barra,BR,89.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
477,Acajutla,SV,71.6,clear sky,13.5928,-89.8275,asi es
481,Ahuimanu,US,73.4,light rain,21.4447,-157.8378,Paradise Bay Resort
482,Hambantota,LK,77.0,scattered clouds,6.1241,81.1185,Bungalow 63
486,Carauari,BR,89.31,few clouds,-4.8828,-66.8958,Hotel Fellip
487,Bac+Lieu,VN,76.5,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
489,Yeppoon,AU,77.0,overcast clouds,-23.1333,150.7333,Villa Mar Colina
492,Itupiranga,BR,84.2,broken clouds,-5.1347,-49.3267,Hotel Panorama
493,Chimoio,MZ,82.4,light rain,-19.1164,33.4833,Predio Livraria Ahmed
495,Banda+Aceh,ID,78.15,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
497,Tay+Ninh,VN,74.8,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
501,Babati,TZ,76.77,light rain,-4.2167,35.75,White Rose Lodge
502,Sulangan,PH,79.5,overcast clouds,11.1373,123.7228,Maia's Beach Resort
514,Mucurapo,TT,81.0,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
519,Meulaboh,ID,78.06,broken clouds,4.1363,96.1285,Kost Pria
522,Jiwani,PK,70.68,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
529,Kawalu,ID,73.06,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
533,Ankazoabo,MG,76.12,moderate rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
534,Kaliua,TZ,75.81,overcast clouds,-5.0606,31.7936,Millennium Complex
535,Cururupu,BR,85.91,broken clouds,-1.8283,-44.8683,Pousada Través'cia
537,Vredendal,ZA,76.3,clear sky,-31.6683,18.5012,Tharrakamma Guest House
538,Piranhas,BR,85.96,broken clouds,-16.4269,-51.8222,Planalto Hotel
539,Sola,VU,81.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
543,Cartagena,CO,82.4,clear sky,10.3997,-75.5144,Costa Del Sol
