City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carnarvon,AU,-24.8667,113.6333,82.4,65,30,10.36,scattered clouds
80,Atuona,PF,-9.8,-139.0333,78.44,77,38,17.0,light rain
81,Tuy+Hoa,VN,13.0833,109.3,70.7,88,60,6.89,broken clouds
82,Zhob,PK,31.3411,69.4481,51.28,39,5,2.42,clear sky
83,La+Grande,US,45.3246,-118.0877,37.99,93,34,8.46,scattered clouds
84,Vaini,TO,-21.2,-175.2,73.4,94,90,4.61,light rain
85,Pujili,EC,-0.95,-78.6833,59.0,67,75,18.41,broken clouds
86,Barrow,US,71.2906,-156.7887,-7.6,77,90,9.22,overcast clouds
87,Lompoc,US,34.6391,-120.4579,46.99,93,1,4.61,clear sky
88,Vila+Franca+Do+Campo,PT,37.7167,-25.4333,64.99,94,75,14.97,broken clouds
89,Danjiangkou,CN,32.5428,111.5086,47.1,52,33,0.72,scattered clouds
90,Mirabad,AF,30.4362,61.8383,60.03,26,69,5.73,broken clouds
91,Haines+Junction,CA,60.7522,-137.5108,-11.2,77,100,1.14,overcast clouds
92,Faya,SA,18.3851,42.4509,60.8,63,0,4.61,clear sky
93,Dunedin,NZ,-45.8742,170.5036,54.0,81,25,4.0,scattered clouds
94,Luneville,FR,48.6,6.5,48.2,93,90,3.44,overcast clouds
95,Marzuq,YE,14.4,46.4667,64.18,66,0,5.64,clear sky
96,Bethel,US,41.3712,-73.414,21.99,45,1,8.05,clear sky
97,Sechura,PE,-5.5569,-80.8222,83.68,49,7,8.01,clear sky
98,Labuhan,ID,-6.8844,112.2051,77.49,85,100,6.82,light rain
99,Thompson,CA,55.7435,-97.8558,10.4,92,90,2.3,light snow
100,Bluff,NZ,-46.6,168.3333,48.0,80,59,8.01,broken clouds
101,Formosa+Do+Rio+Preto,BR,-11.0483,-45.1931,94.59,27,9,8.08,clear sky
102,Dzaoudzi,YT,-12.7887,45.2699,78.8,89,0,5.75,clear sky
103,Leningradskiy,RU,69.3833,178.4167,-26.91,84,82,2.08,broken clouds
104,Cedar+City,US,37.6775,-113.0619,28.4,69,1,2.8,clear sky
105,Deputatskiy,RU,69.3,139.9,-32.35,86,97,1.86,overcast clouds
106,Abu+Kamal,SY,34.4506,40.9171,53.38,45,48,8.12,scattered clouds
107,Nakskov,DK,54.8373,11.1284,32.0,83,2,1.01,clear sky
108,Yulara,AU,-25.2406,130.9889,87.8,35,90,17.27,overcast clouds
109,Hilo,US,19.7297,-155.09,66.2,94,90,5.75,moderate rain
110,Maceio,BR,-9.6658,-35.7353,84.2,70,75,12.66,broken clouds
111,Nyurba,RU,63.2842,118.3319,-37.52,81,100,2.89,overcast clouds
112,Cayenne,GF,4.9333,-52.3333,80.6,89,75,10.36,moderate rain
113,Mayo,US,38.8876,-76.5119,35.01,40,1,8.05,clear sky
114,Bredasdorp,ZA,-34.5322,20.0403,72.0,76,0,3.0,clear sky
115,Kamakwie,SL,9.5,-12.2333,100.15,15,0,4.79,clear sky
116,Kropotkin,RU,45.4375,40.5756,39.31,82,59,9.19,broken clouds
117,Bengkulu,ID,-3.8004,102.2655,75.81,88,100,6.93,light rain
118,Camana,PE,-16.6228,-72.7111,75.45,60,24,10.33,few clouds
119,Luau,AO,-10.7073,22.2247,70.56,89,58,4.23,light rain
120,Hami,CN,42.8,93.45,22.19,83,0,1.57,clear sky
121,Igarka,RU,67.4667,86.5833,-34.51,76,0,4.85,clear sky
122,Ponta+Do+Sol,PT,32.6667,-17.1,64.0,73,39,4.0,scattered clouds
123,Vila+Velha,BR,-20.3297,-40.2925,87.8,55,20,17.27,few clouds
124,Abha,SA,18.2164,42.5053,60.8,63,0,4.61,clear sky
125,Sherlovaya+Gora,RU,50.5667,116.25,-21.24,90,100,4.79,overcast clouds
126,Torbay,CA,47.6666,-52.7314,30.99,86,90,18.41,overcast clouds
127,Samarai,PG,-10.6167,150.6667,82.63,75,100,16.4,moderate rain
128,Mount+Gambier,AU,-37.8333,140.7667,55.4,88,5,6.91,clear sky
129,Ranong,TH,9.9658,98.6348,74.84,86,19,4.56,few clouds
130,Jamestown,US,42.097,-79.2353,25.0,79,90,4.9,light snow
131,Urengoy,RU,65.9667,78.3667,-29.2,82,97,8.75,overcast clouds
132,Kalabagh,PK,32.965,71.557,53.37,38,0,1.59,clear sky
133,Penzance,GB,50.1186,-5.5371,51.8,100,75,12.66,broken clouds
134,Cape+Town,ZA,-33.9258,18.4232,78.8,47,20,11.5,few clouds
135,Astoria,US,46.1879,-123.8313,44.6,93,90,4.61,moderate rain
136,Sal+Rei,CV,16.1833,-22.9167,77.0,65,0,19.57,clear sky
137,Kultayevo,RU,57.8943,55.9392,26.6,93,90,8.95,overcast clouds
138,Calvinia,ZA,-31.4707,19.776,73.31,37,0,10.65,clear sky
139,Saint-Pierre,RE,-21.3393,55.4781,80.6,69,0,4.61,light rain
140,Cururupu,BR,-1.8283,-44.8683,87.75,59,48,8.88,scattered clouds
141,Clyde+River,CA,70.4692,-68.5914,-20.2,76,1,5.91,clear sky
142,Talnakh,RU,69.4865,88.3972,-30.91,71,0,5.64,clear sky
143,Watsa,CD,3.0372,29.5355,77.27,27,3,2.53,clear sky
144,San+Quintin,MX,30.4833,-115.95,57.83,55,3,4.07,clear sky
145,Shangrao,CN,28.4532,117.9686,51.94,71,99,0.54,overcast clouds
146,Pak+Phanang,TH,8.3511,100.202,77.61,84,19,8.7,few clouds
147,Coihaique,CL,-45.5752,-72.0662,66.2,39,20,10.36,few clouds
148,Dikson,RU,73.5069,80.5464,-35.57,82,29,9.35,scattered clouds
149,Pitanga,BR,-24.7572,-51.7614,69.93,96,100,2.24,light rain
150,Brokopondo,SR,4.75,-55.1667,81.64,76,57,10.6,broken clouds
151,Ketchikan,US,55.3422,-131.6461,35.6,93,90,6.91,light rain
152,Hofn,IS,64.2539,-15.2082,23.27,87,95,21.21,overcast clouds
153,Jacmel,HT,18.2342,-72.5347,84.2,48,20,6.91,few clouds
154,Princeton,US,25.5384,-80.4089,73.99,53,1,12.66,clear sky
155,Katsuura,JP,35.1333,140.3,41.0,70,20,5.75,few clouds
156,Komsomolskiy,UZ,40.4272,71.7189,42.8,28,98,4.61,overcast clouds
157,Planeta+Rica,CO,8.4147,-75.5883,87.71,49,9,5.93,clear sky
158,Margate,GB,51.3813,1.3862,39.99,90,100,4.0,overcast clouds
