City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,-30.66,71,0,6.55,clear sky
80,Tromso,NO,69.6496,18.957,19.0,86,0,1.14,clear sky
81,Hualmay,PE,-11.0964,-77.6139,76.78,63,58,13.91,broken clouds
82,Galeana,MX,24.8333,-100.0667,75.15,24,0,3.42,clear sky
83,Coquimbo,CL,-29.9533,-71.3436,66.2,82,75,11.5,broken clouds
84,Kaitangata,NZ,-46.2817,169.8464,55.0,84,70,5.01,broken clouds
85,Cacador,BR,-26.7753,-51.015,68.94,79,100,2.01,overcast clouds
86,Karpathos,GR,35.507,27.2132,62.6,72,0,25.32,clear sky
87,Torbay,CA,47.6666,-52.7314,30.0,86,90,16.11,overcast clouds
88,Chokurdakh,RU,70.6333,147.9167,-28.95,86,36,7.52,scattered clouds
89,Praia+Da+Vitoria,PT,38.7333,-27.0667,64.4,82,75,22.46,broken clouds
90,Marovoay,MG,-16.1,46.6333,80.6,83,40,9.22,light rain
91,Dawson+Creek,CA,55.7666,-120.2362,3.2,72,1,2.08,clear sky
92,Vostok,RU,46.4856,135.8833,-22.67,87,92,4.5,overcast clouds
93,Yellowknife,CA,62.456,-114.3525,-9.0,76,40,4.61,scattered clouds
94,Bakchar,RU,57.0186,82.0711,-23.57,85,95,4.9,overcast clouds
95,Anzhero-Sudzhensk,RU,56.081,86.0285,-29.2,68,0,4.47,clear sky
96,Tucuman,AR,-26.8241,-65.2226,69.8,94,90,9.22,light rain
97,Ahuimanu,US,21.4447,-157.8378,77.0,65,20,14.97,light rain
98,Kattivakkam,IN,13.2167,80.3167,75.2,88,20,7.27,haze
99,Elliot+Lake,CA,46.3834,-82.6331,19.4,58,1,3.44,clear sky
100,Hambantota,LK,6.1241,81.1185,77.25,82,93,10.65,overcast clouds
101,Georgetown,MY,5.4112,100.3354,78.8,83,20,3.44,few clouds
102,Bengkulu,ID,-3.8004,102.2655,75.06,91,96,4.56,light rain
103,Cavaillon,FR,43.8312,5.0359,44.6,93,90,2.3,fog
104,Mtsensk,RU,53.2766,36.5733,23.94,97,100,9.89,snow
105,Kapaa,US,22.0752,-159.319,73.4,88,75,17.27,light rain
106,Ettenheim,DE,48.25,7.8167,48.0,97,100,11.16,overcast clouds
107,Esperance,AU,-33.8667,121.9,57.2,88,0,9.22,clear sky
108,Khatanga,RU,71.9667,102.5,-45.99,77,26,0.36,scattered clouds
109,Poum,NC,-20.2333,164.0167,78.03,74,25,15.41,scattered clouds
110,Tahoua,NE,14.8888,5.2692,73.44,17,38,10.85,scattered clouds
111,Road+Town,VG,18.4167,-64.6167,75.2,94,40,8.05,scattered clouds
112,Virden,US,39.5009,-89.7679,36.0,94,100,7.0,snow
113,Hobart,AU,-42.8794,147.3294,55.4,71,20,8.05,few clouds
114,Nanortalik,GL,60.1432,-45.2371,32.61,88,100,10.25,overcast clouds
115,Walvis+Bay,NA,-22.9575,14.5053,66.99,77,0,5.75,clear sky
116,Arraial+Do+Cabo,BR,-22.9661,-42.0278,86.0,65,20,23.02,few clouds
117,Saint-Augustin,CA,51.226,-58.6502,31.06,94,89,11.25,overcast clouds
118,Homer,US,59.6425,-151.5483,27.0,79,1,4.61,clear sky
119,Zempoala,MX,19.45,-96.4167,84.2,61,40,3.44,scattered clouds
120,Gizo,SB,-8.103,156.8419,83.89,77,100,20.47,overcast clouds
121,Mbini,GQ,1.574,9.6134,84.2,84,40,4.16,scattered clouds
122,Caravelas,BR,-17.7125,-39.2481,81.12,68,0,8.7,clear sky
123,Cape+Town,ZA,-33.9258,18.4232,72.0,68,0,6.91,clear sky
124,Sengiley,RU,53.9622,48.7944,21.2,100,40,8.95,scattered clouds
125,Taoudenni,ML,22.6783,-3.9836,74.64,19,0,9.82,clear sky
126,Juneau,US,58.3019,-134.4197,32.0,86,90,6.24,light snow
127,Wanning,CN,18.8003,110.3967,67.82,87,66,8.39,broken clouds
128,Abu+Kamal,SY,34.4506,40.9171,50.7,48,48,11.95,scattered clouds
129,Shenjiamen,CN,29.9576,122.298,51.51,80,93,14.45,overcast clouds
130,Eisenerz,AT,47.5333,14.8833,33.8,86,75,3.44,broken clouds
131,Doka,SD,13.5167,35.7667,76.64,40,0,15.35,clear sky
132,Wagar,SD,16.1525,36.2032,65.86,74,0,17.22,clear sky
133,Mus,TR,39.0,41.75,14.95,96,49,1.19,scattered clouds
134,Atuona,PF,-9.8,-139.0333,78.93,77,13,16.55,light rain
135,Banfora,BF,10.6333,-4.7667,81.55,15,0,3.83,clear sky
136,Bartica,GY,6.4,-58.6167,78.8,94,75,4.61,broken clouds
137,Cockburn+Town,TC,21.4612,-71.1419,75.2,53,20,11.5,few clouds
138,Lagos,NG,6.5833,3.75,71.6,24,0,3.44,haze
139,Sao+Joao+Da+Barra,BR,-21.6403,-41.0511,86.0,48,0,18.41,clear sky
140,Barahona,DO,18.2085,-71.1008,84.2,79,20,18.41,few clouds
141,Bambous+Virieux,MU,-20.3428,57.7575,78.8,89,75,8.05,light rain
142,Kodiak,US,57.79,-152.4072,32.0,51,1,26.46,clear sky
143,Saldanha,ZA,-33.0117,17.9442,64.56,89,0,8.77,clear sky
144,Pevek,RU,69.7008,170.3133,-33.75,84,4,1.41,clear sky
145,Cabo+San+Lucas,MX,22.8909,-109.9124,77.0,57,20,3.44,few clouds
146,Bilma,NE,18.6853,12.9164,63.73,25,35,5.61,scattered clouds
147,Yerbogachen,RU,61.2767,108.0108,-38.9,80,96,4.61,overcast clouds
148,Katsuura,JP,35.1333,140.3,35.6,60,20,3.44,few clouds
149,Crestview,US,30.7621,-86.5705,64.99,55,40,11.5,scattered clouds
150,Bushehr,IR,28.9684,50.8385,60.8,67,0,11.5,clear sky
151,Vilhena,BR,-12.7406,-60.1458,83.19,60,67,3.18,broken clouds
152,Hithadhoo,MV,-0.6,73.0833,82.31,77,45,15.43,scattered clouds
153,Galesong,ID,-5.3166,119.3661,73.4,100,20,1.14,few clouds
154,Husavik,IS,66.0449,-17.3389,17.6,67,90,2.3,overcast clouds
155,North+Platte,US,41.1239,-100.7654,28.4,86,90,17.27,overcast clouds
156,Alta+Floresta,BR,-9.8756,-56.0861,79.97,90,63,2.73,broken clouds
157,Port+Augusta,AU,-32.5,137.7667,64.4,72,99,11.5,overcast clouds
158,Podsineye,RU,53.6658,91.5364,-18.4,69,0,6.71,clear sky
159,Upernavik,GL,72.7868,-56.1549,-9.98,85,0,7.61,clear sky
160,Saskylakh,RU,71.9167,114.0833,-36.35,80,100,9.62,overcast clouds
161,Riverton,US,40.5219,-111.9391,41.0,65,40,2.01,scattered clouds
162,Bandarbeyla,SO,9.4942,50.8122,74.05,74,9,14.07,clear sky
163,Sabang,ID,5.8933,95.3214,81.28,74,6,19.33,clear sky
164,Nuuk,GL,64.1835,-51.7216,17.6,73,20,5.75,few clouds
165,Bealanana,MG,-14.55,48.7333,64.71,89,16,0.16,few clouds
166,Nyzy,UA,50.7828,34.7844,36.12,97,100,12.88,moderate rain
167,Bilibino,RU,68.0546,166.4372,-27.42,80,1,5.35,clear sky
168,Cayenne,GF,4.9333,-52.3333,80.6,94,75,10.36,broken clouds
169,Meridian,US,43.6121,-116.3915,48.0,46,1,7.14,clear sky
170,Ranot,TH,7.7777,100.3213,78.28,79,6,13.24,clear sky
171,Baiyin,CN,36.5583,104.2081,24.01,52,0,8.95,clear sky
172,Saint-Pierre,RE,-21.3393,55.4781,78.8,65,0,3.44,clear sky
173,Jamestown,US,42.097,-79.2353,26.01,74,90,3.04,overcast clouds
174,Vao,NC,-22.6667,167.4833,75.34,82,91,26.28,overcast clouds
175,Victoria,HK,22.2855,114.1577,62.01,74,17,16.89,few clouds
176,San+Andres,CO,12.5847,-81.7006,84.2,65,40,18.41,scattered clouds
177,Udachnyy,RU,66.4167,112.4,-33.74,77,94,9.71,overcast clouds
178,Mumford,GH,5.2618,-0.759,80.33,84,1,11.14,clear sky
179,Fairbanks,US,64.8378,-147.7164,-5.01,77,90,0.63,light snow
180,Beringovskiy,RU,63.05,179.3167,0.3,94,100,10.69,light snow
181,Benghazi,LY,32.1167,20.0667,62.89,84,0,7.43,clear sky
182,Cap+Malheureux,MU,-19.9842,57.6142,78.01,83,0,3.0,clear sky
183,Dundee,GB,56.5,-2.9667,33.8,86,0,8.05,clear sky
184,Chardara,KZ,41.2547,67.9692,49.48,48,100,12.08,moderate rain
185,Lavrentiya,RU,65.5833,-171.0,-19.21,83,0,6.55,clear sky
186,Neiafu,TO,-18.65,-173.9833,78.8,94,75,12.66,light rain
187,Muros,ES,42.7762,-9.0603,55.0,79,100,1.99,overcast clouds
188,Tuatapere,NZ,-46.1333,167.6833,48.0,80,93,8.01,overcast clouds
189,Wollongong,AU,-34.4333,150.8833,71.01,89,79,5.01,light rain
190,Qaanaaq,GL,77.484,-69.3632,-4.85,74,99,1.79,overcast clouds
191,Alekseyevsk,RU,57.8406,108.3492,-42.41,77,77,2.33,broken clouds
192,Mastic+Beach,US,40.7668,-72.8521,28.4,34,1,11.5,clear sky
193,Songjianghe,CN,42.1859,127.479,5.14,89,100,5.06,snow
194,Beberibe,BR,-4.1797,-38.1306,84.2,70,0,9.22,clear sky
195,Veraval,IN,20.9,70.3667,67.35,32,0,10.33,clear sky
196,Palmer,US,42.1584,-72.3287,25.0,36,1,12.66,clear sky
197,Kintampo,GH,8.0563,-1.7306,87.64,31,86,1.88,overcast clouds
198,Pangai,TO,-19.8,-174.35,80.65,74,100,10.16,overcast clouds
199,Agadez,NE,19.75,10.25,57.16,32,55,1.95,broken clouds
200,Agasegyhaza,HU,46.8403,19.4521,46.0,81,0,9.22,clear sky
201,Along,IN,28.1667,94.7667,46.85,80,0,1.99,clear sky
202,Sao+Miguel+Do+Araguaia,BR,-13.275,-50.1628,86.0,67,34,5.14,scattered clouds
203,Nola,IT,40.922,14.5329,55.99,69,87,1.01,overcast clouds
204,Sarlat-La-Caneda,FR,44.889,1.2166,48.99,87,100,4.0,overcast clouds
205,Korla,CN,41.7597,86.1469,22.73,81,0,5.35,clear sky
206,Akom,CM,2.6678,12.7109,71.37,87,100,4.23,overcast clouds
207,Faanui,PF,-16.4833,-151.75,81.1,68,95,4.29,overcast clouds
208,Kibungo,RW,-2.1597,30.5427,71.6,64,20,5.75,few clouds
209,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,20,2.37,few clouds
210,Mishan,CN,45.55,131.8833,-17.7,84,0,4.68,clear sky
211,Vitim,RU,59.4511,112.5578,-33.7,80,100,1.79,overcast clouds
212,Te+Anau,NZ,-45.4167,167.7167,49.42,82,90,1.9,overcast clouds
213,Awbari,LY,26.5921,12.7805,56.95,37,0,4.18,clear sky
214,Priladozhskiy,RU,59.85,31.4833,24.01,81,87,4.72,light snow
215,Chapais,CA,49.7834,-74.8492,-0.4,65,90,8.05,overcast clouds
216,Tiarei,PF,-17.5333,-149.3333,86.0,66,75,12.66,light rain
217,Kushiro,JP,42.975,144.3747,18.72,91,1,8.97,clear sky
218,Brufut,GM,13.3814,-16.7518,77.0,47,0,8.05,clear sky
219,Srandakan,ID,-7.9386,110.2506,75.38,86,100,3.2,heavy intensity rain
220,Baruun-Urt,MN,46.6806,113.2792,-0.85,93,94,5.39,overcast clouds
221,Bacolod,PH,10.6667,122.95,74.88,82,97,15.43,overcast clouds
222,Zittau,DE,50.9,14.8333,28.0,92,97,2.82,overcast clouds
223,Porosozero,RU,62.7191,32.727,14.77,97,100,4.76,overcast clouds
224,Dicabisagan,PH,17.0818,122.4157,69.76,81,100,9.33,overcast clouds
225,Napa,US,38.4832,-122.3344,57.99,62,86,1.01,overcast clouds
226,Aswan,EG,24.0934,32.907,58.96,34,0,9.51,clear sky
227,Nemuro,JP,43.3236,145.575,21.22,92,100,16.82,overcast clouds
228,Ballina,AU,-28.8667,153.5667,73.4,94,40,3.44,scattered clouds
